OBJECTID,Island (Code),Date,Observer Initials,Header/Observer Memo,Time (of initial observation),Beach/Location Name (from standardized list),Location Description / Comment,Size,Sex,Beach Position,Body Condition,Seal ID (permanent #),Bleach / Temp #,TAG #,P (Tag Location),Tag Color,% Molt,Disturbance (by observer),Notes,Photos?,created_user,created_date,last_edited_user,last_edited_date,Latitude,Longitude,Mom/Pup Nursing Pair?,GlobalID,x,y
11,15,5/6/2021 18:11,GPS,Glauco Antonio Puig-Santana,5/6/2021 18:11,Papaloa,Mid Papaloa ,,F,1,F,R125,,,,,0,,Mom and pup pair. Both are sleeping on the beach. In good condition. To tag present on left flipper and tag on right is covered in sand. Scar on left eye. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,5/17/2021 20:52,,,Y,a9536336-8a1a-499c-ae35-6058fabfbb94,-156.9826033,21.19772395
12,15,5/6/2021 18:17,GPS,Glauco Antonio Puig-Santana,5/6/2021 18:17,Papaloa,Mid Papaloa ,P,U,1,M,RP70,MP2,,,,,,Nursing pup of RI25. Sleeping and in good condition. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,4/26/2022 18:17,,,Y,3e649748-9ab5-4120-bfe6-3fe2d6c8dc23,-156.9826033,21.19772395
13,15,5/6/2021 18:39,GPS,Glauco Antonio Puig-Santana,5/6/2021 18:40,Kahikilo Beach,On Beach Cove,A,F,1,M,RG18,,G18,L,R,0,,Pup and mom pair. Both are sleeping. In good condition. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,5/17/2021 20:52,,,Y,27264cc0-dd9f-4137-839c-dd8c1ffd49fb,-156.9848177,21.19140986
14,15,5/6/2021 18:41,GPS,Glauco Antonio Puig-Santana,5/6/2021 18:41,Kahikilo Beach,In Beach Cove right on shoreline ,P,U,1,F,,MP1,None,,,0,,Pup seems to having fallen asleep while suckling. Wakes up every few minutes to continue to feed. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,4/26/2022 18:21,,,Y,dea16e16-67f4-455d-8b21-1580995d9f1e,-156.9848177,21.19140986
15,15,5/7/2021 18:14,GPS,Glauco Antonio Puig-Santana,5/7/2021 18:14,Papaloa,North Papaloa ,,F,1,P,RK62,,K62,L,R,,,Pregnant female. Low and rhythmic guttural grunts every ten seconds followed by a pause. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,5/17/2021 20:54,,,N,744be582-3a98-41c2-8d1f-29e6cdeb9bc7,-156.9817399,21.19867039
16,15,5/7/2021 18:20,GPS,Glauco Antonio Puig-Santana,5/7/2021 18:20,Papaloa,Mid Papaloa ,,F,1,F,RI25,,,,,,,Nursing Mom and Pup pair. High up on the beach but started to move towards the water. Right tag present but hard to read. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,5/17/2021 20:53,,,Y,7729fdf6-2166-446e-85fb-2e3a04ef9142,-156.9825672,21.19774627
17,15,5/7/2021 18:22,GPS,Glauco Antonio Puig-Santana,5/7/2021 18:22,Papaloa,Mid Papaloa ,,U,1,M,RP70,MP2,,,,,,Nursing mom and pup pair. Pup seems healthy. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,4/26/2022 18:17,,,Y,63c45a07-451f-457d-a471-eaeeea67b163,-156.9825672,21.19774627
18,15,5/7/2021 18:39,GPS,Glauco Antonio Puig-Santana,5/7/2021 18:39,Kahikilo Beach,On Rocky cove,A,F,1,M,RG18,,G18,L,R,,,Nursing mom and pup pair. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,5/17/2021 20:53,,,Y,405ac864-da82-4368-9d4d-eec024e552bc,-156.9850901,21.19132508
19,15,5/7/2021 18:40,GPS,Glauco Antonio Puig-Santana,5/7/2021 18:41,Kahikilo Beach,Rocky Cove ,,U,1,F,,MP1,None,,,,,Nursing Mom and pup pair. Pup was observed suckling while mom was asleep. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,4/26/2022 18:21,,,Y,867593a3-8aae-460a-a424-2801b457415e,-156.9850901,21.19132508
20,15,5/9/2021 3:50,GPS,Glauco Antonio Puig-Santana,5/9/2021 3:50,Iliopii,North Edge ,A,F,1,P,RH60,,H60,R,R,,,Sleeping on edge,N,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,5/17/2021 20:54,,,N,7074a766-ce5e-483a-93d3-0e0b6c0985a2,-156.9798601,21.20584382
21,15,5/9/2021 4:30,GPS,Glauco Antonio Puig-Santana,5/9/2021 4:30,Papaloa,Mid Papaloa ,A,F,1,F,RI25,,,L,R,,,Unable to read tag.,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,5/17/2021 20:53,,,Y,2bb073f8-167b-4654-87d4-571f4d054460,-156.9825265,21.19781924
22,15,5/9/2021 4:31,GPS,Glauco Antonio Puig-Santana,5/9/2021 4:31,Papaloa,Mid Papaloa ,P,U,1,M,RP70,MP2,,,,,,Sleeping ,N,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,4/26/2022 18:17,,,Y,68380cbc-4fb4-4903-a49f-b648dd41922f,-156.9825265,21.19781924
23,15,5/9/2021 4:33,GPS,Glauco Antonio Puig-Santana,5/9/2021 4:33,Papaloa,Mid Papaloa ,A,F,1,F,RK62,,,,,,,Mom and pup nursing pair. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,5/17/2021 20:53,21.19678285,-156.9828895,Y,09b3e518-96d3-4d26-9d3d-ea4fe45d86ef,-156.9828751,21.19677943
24,15,5/9/2021 4:34,GPS,Glauco Antonio Puig-Santana,5/9/2021 4:34,Papaloa,Mid Papaloa ,P,U,1,M,RP88,MP3,,,,,,Pup from K62. First day it was observed. ,N,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,4/26/2022 18:15,,,Y,ef0c0985-d9ac-45a0-8e93-f172a1826796,-156.9828751,21.19677943
25,15,5/10/2021 16:15,GPS,Glauco Antonio Puig-Santana,5/10/2021 16:15,Iliopii,Mid Iilio Pii,A,M,0,M,RF42,,,,,,,Swimming along the shore occasionally sticking head out to observe a the beach. Was moving south but has since continued along the north. ,N,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,5/17/2021 20:54,,,N,b170705b-2127-48b1-bcb4-d5b1f9d0a086,-156.979538,21.2044338
26,15,5/10/2021 16:36,GPS,Glauco Antonio Puig-Santana,5/10/2021 16:36,Papaloa,North Papaloa ,,F,1,F,RH60,,H60,L,R,,,Nursing Mom and Pup pair. Placenta present. H60 was spotted without a pup on Saturday evening (05/08/2021). Cookie cutter midline dorsal center with both flippers. Both mom and pup look healthy. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,5/17/2021 20:53,,,Y,21fef72c-7ec2-4d1c-88c3-ee20038c7185,-156.9820093,21.19828948
27,15,5/10/2021 16:40,GPS,Glauco Antonio Puig-Santana,5/10/2021 16:40,Papaloa,North Papaloa. ,P,U,1,M,,MP4,,,,,,Nursing Mom and Pup pair from H60. Placenta is present. Pup and mom look healthy. Pup is vocalizing a lot with mother and attempting to nozzle as she moves it away from its face. Pup observed dead on 05/13/2021. Carcass was recovered.  ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,4/26/2022 18:14,,,Y,fc8d92b9-6355-44ac-becc-6d363ade2cfb,-156.9820093,21.19828948
28,15,5/10/2021 16:50,GPS,Glauco Antonio Puig-Santana,5/10/2021 16:50,Papaloa,Mid Papaloa ,A,F,1,F,RI25,,,R,R,,,Unable to read right tag. Mom and Pup pair and they are sleeping. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,5/17/2021 20:53,,,Y,19c87fa0-eba6-4127-877e-2b29d7119c5f,-156.9824454,21.19789793
29,15,5/10/2021 16:52,GPS,Glauco Antonio Puig-Santana,5/10/2021 16:52,Papaloa,Mid Papaloa ,P,U,1,M,RP70,MP2,,,,,,Nursing Mom and Pup pair from RI25. Sleeping. Ventral shot was taken of pup to determine sex. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,4/26/2022 18:17,,,Y,2e03ae9a-5e36-415a-863b-0c8a822f778e,-156.9824454,21.19789793
30,15,5/10/2021 16:58,GPS,Glauco Antonio Puig-Santana,5/10/2021 16:58,Papaloa,Mid Papaloa ,A,F,1,F,RK62,,,,,,,Nursing Mom and Pup pair. Mom observed with Pup on 05/08/2021. Lip scar present. Sleeping and all appear healthy. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,5/17/2021 20:53,,,Y,875a4759-3f26-4956-b241-5d8250841e83,-156.9828751,21.19677943
31,15,5/10/2021 17:00,GPS,Glauco Antonio Puig-Santana,5/10/2021 17:00,Papaloa,Mid Papaloa,P,U,1,M,RP88,MP3,,,,,,Nursing Mom and Pup pair. Pup first observed on 05/08/2021. Both look healthy and are sleeping. Ventral shot taken. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,4/26/2022 18:15,,,Y,7cc0d541-fd8d-4b90-a043-c7c36357dfc9,-156.9828751,21.19677943
32,15,5/10/2021 17:21,GPS,Glauco Antonio Puig-Santana,5/10/2021 17:21,Kahikilo Beach,On Beach Cove,A,F,1,M,RG18,,G18,R,R,,,Nursing Mom and Pup pair. Both look healthy and sleeping. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,5/17/2021 20:54,,,Y,5ed4d9b2-db1f-4ea9-b055-849e8cc8f68c,-156.9848177,21.19140986
33,15,5/10/2021 17:23,GPS,Glauco Antonio Puig-Santana,5/10/2021 17:23,Kahikilo Beach,Beach Cove,P,U,1,F,,MP1,None,,,,,Ventral shot taken. Nursing Mom and Pup pair. Both are sleeping. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,4/26/2022 18:21,,,Y,6895f56a-e0dd-4c7d-8b70-4f7545de8525,-156.9848177,21.19140986
34,15,5/19/2021 22:41,GPS,Glauco Antonio Puig-Santana,5/19/2021 22:41,PAPALOA,North Papaloa ,A,F,1,F,RI25,,,L,R,,0,Mom and Pup pair. Pup is feeding. Tag on left is unreadable. Left scar on eye present. ,Y,gpuig_santana@nps.gov_nps,5/19/2021 22:42,gpuig_santana@nps.gov_nps,5/19/2021 22:47,,,Y,1bd63dc3-d764-4f1f-8e22-e38476833853,-156.9818377,21.19904427
35,15,5/19/2021 22:43,GPS,Glauco Antonio Puig-Santana,5/19/2021 22:43,PAPALOA,North Papaloa ,P,M,1,M,RP70,MP2,,,,,0,Nursing Mom and Pup pair of RI25. Pup nursing and mom is asleep. ,Y,gpuig_santana@nps.gov_nps,5/19/2021 22:46,gpuig_santana@nps.gov_nps,4/26/2022 18:17,,,Y,33cb927a-8f8a-410b-9f47-6e58857c2d78,-156.9818377,21.19904427
36,15,5/19/2021 22:52,GPS,Glauco Antonio Puig-Santana,5/19/2021 22:52,PAPALOA,Mid Paploa,A,F,0,F,RN12,,,,,,0,Mom is sleeping in shallow water and pup is swimming nearby. ,Y,gpuig_santana@nps.gov_nps,5/19/2021 22:53,gpuig_santana@nps.gov_nps,5/19/2021 22:53,,,Y,1f65eb43-8543-4dfc-823a-cdae8974a575,-156.982697,21.19777771
37,15,5/19/2021 22:54,GPS,Glauco Antonio Puig-Santana,5/19/2021 22:54,PAPALOA,Mid Papaloa ,P,U,0,M,RP60,MP5,,,,,0,Mom is sleeping and pup is swimming in shallow water. ,Y,gpuig_santana@nps.gov_nps,5/19/2021 22:55,gpuig_santana@nps.gov_nps,4/26/2022 18:13,,,Y,c9b94b5c-da8c-4fde-8157-7f3cd6553e1f,-156.982697,21.19777771
38,15,5/19/2021 23:03,GPS,Glauco Antonio Puig-Santana,5/19/2021 23:03,PAPALOA,Mid Papaloa ,A,M,0,M,,,,,,,0,Two unknown males and one pregnant female. Two males are actively swimming to female. Both are engaging in aggressive acts towards each other. Female has a scar on top of head towards left side. ,Y,gpuig_santana@nps.gov_nps,5/19/2021 23:06,gpuig_santana@nps.gov_nps,5/19/2021 23:06,,,N,f152c584-d528-4992-8e45-3577e1e8711b,-156.9831153,21.19689698
39,15,5/19/2021 23:06,GPS,Glauco Antonio Puig-Santana,5/19/2021 23:06,PAPALOA,Mid Papaloa ,A,M,0,M,,,,,,,0,Two unknown males and one pregnant female. Two males are actively swimming to female. Both are engaging in aggressive acts towards each other. Female has a scar on top of head towards left side. No tags observed on males. Scar on left flipper. ,Y,gpuig_santana@nps.gov_nps,5/19/2021 23:07,gpuig_santana@nps.gov_nps,5/20/2021 0:20,21.19689133,-156.9831309,N,f154767c-57f7-45ae-994c-01397a1a96cf,-156.9831165,21.19688791
40,15,5/19/2021 23:07,GPS,Glauco Antonio Puig-Santana,5/19/2021 23:07,PAPALOA,Mid Papalo. ,A,F,0,P,RL04,,,,,,0,Two unknown males and one pregnant female. Two males are actively swimming to female. Both are engaging in aggressive acts towards each other. Female has a scar on top of head towards left side. ,Y,gpuig_santana@nps.gov_nps,5/19/2021 23:08,gpuig_santana@nps.gov_nps,5/20/2021 0:20,,,N,b8f7f4d7-ca73-4dc8-be0c-7ea17ca73047,-156.9831153,21.19689698
41,15,5/19/2021 23:27,GPS,Glauco Antonio Puig-Santana,5/19/2021 23:27,"KAHIKILO (CARPENTERS) BEACH, KALAUPAPA",Along Beach Cove,W ,M,1,M,,MP1,None,,,,0,Sleeping along shore. Still transitioning over to new coat. ,Y,gpuig_santana@nps.gov_nps,5/19/2021 23:28,gpuig_santana@nps.gov_nps,4/26/2022 18:21,,,N,166ce317-0a7b-45cb-a008-f8db3ba34f3b,-156.9848402,21.19133913
42,15,5/19/2021 23:37,GPS,Glauco Antonio Puig-Santana,5/19/2021 23:37,PAPALOA,Mid Papaloa,A,F,1,F,RK62,,K62,R,R,,0,Nursing mom and pup pair. Sleeping. RF42 nearby. ,Y,gpuig_santana@nps.gov_nps,5/19/2021 23:39,gpuig_santana@nps.gov_nps,5/19/2021 23:39,,,Y,9c0fdfb7-fce8-429c-b9d4-4e354cdf5de8,-156.9833798,21.19699959
43,15,5/19/2021 23:39,GPS,Glauco Antonio Puig-Santana,5/19/2021 23:02,PAPALOA,Mid Papaloa,P,U,1,M,RP88,MP3,,,,,0,Nursing Mom and pup pair. Sleeping. RF42 nearby. ,Y,gpuig_santana@nps.gov_nps,5/19/2021 23:40,gpuig_santana@nps.gov_nps,4/26/2022 18:15,,,Y,65c88fc0-3baa-4e57-8cf4-9941e9727b53,-156.9833798,21.19699959
44,15,5/19/2021 23:41,GPS,Glauco Antonio Puig-Santana,5/19/2021 23:02,PAPALOA,Mid Papaloa,A,M,1,M,RF42,,F43,L,R,,0,Sleeping near RK62 and MP3. Dorsal and left cheek scar present. ,N,gpuig_santana@nps.gov_nps,5/19/2021 23:43,gpuig_santana@nps.gov_nps,5/19/2021 23:43,,,N,7c62d68f-be18-4ace-a246-89f622c3d114,-156.9833744,21.19702764
45,15,5/21/2021 1:13,GPS,Glauco Antonio Puig-Santana,5/21/2021 1:14,PAPALOA,North Papaloa ,A,F,0,F,RI25,,,,,,0,Mom and Pup pair. Resting in a shallow pool. ,Y,gpuig_santana@nps.gov_nps,5/21/2021 1:15,gpuig_santana@nps.gov_nps,5/21/2021 1:15,,,Y,5a8f78f4-04d5-4591-ac9f-0c44783a0931,-156.9818471,21.19902985
46,15,5/21/2021 1:15,GPS,Glauco Antonio Puig-Santana,5/21/2021 1:15,PAPALOA,North Papaloa ,P,M,0,M,RP70,MP2,,,,,0,Mom and Pup pair. Resting in shallow pool. ,Y,gpuig_santana@nps.gov_nps,5/21/2021 1:16,gpuig_santana@nps.gov_nps,4/26/2022 18:17,,,Y,c16a6c63-b962-4859-9557-18f48b6f6e3e,-156.9818471,21.19902985
47,15,5/21/2021 1:34,GPS,Glauco Antonio Puig-Santana,5/21/2021 1:34,PAPALOA,Mid Papaloa ,A,F,1,P,RA10,,,,R,,0,Resting along shoreline. Three total tags present. ,Y,gpuig_santana@nps.gov_nps,5/21/2021 1:36,gpuig_santana@nps.gov_nps,5/21/2021 2:24,,,N,8f698ac4-5b3c-4602-851a-90cab2bbc255,-156.9825616,21.19780933
48,15,5/21/2021 1:36,GPS,Glauco Antonio Puig-Santana,5/21/2021 1:36,PAPALOA,Mid Papaloa ,A,F,1,F,RN12,,,,R,,0,Nursing mom and pup pair. Pup is feeding while mother is resting.,Y,gpuig_santana@nps.gov_nps,5/21/2021 1:37,gpuig_santana@nps.gov_nps,5/21/2021 1:37,,,Y,68c9c983-9665-4c3e-8375-ce1f74d47bc1,-156.9826933,21.19776414
49,15,5/21/2021 1:37,GPS,Glauco Antonio Puig-Santana,5/21/2021 1:38,PAPALOA,Mid Papaloa ,P,U,1,M,RP60,MP5,,,,,0,Nursing mom and pup pair. Pup is feeding while mother sleeps. ,Y,gpuig_santana@nps.gov_nps,5/21/2021 1:39,gpuig_santana@nps.gov_nps,4/26/2022 18:13,,,Y,bf834b89-23d9-49b4-a17d-068dd656574f,-156.9826933,21.19776414
50,15,5/21/2021 1:39,GPS,Glauco Antonio Puig-Santana,5/21/2021 1:39,PAPALOA,Mid Papaloa. Rocky outer shore. ,A,F,1,F,RK62,,,,R,,0,Nursing mom and pup pair. Both are resting and appear healthy. ,Y,gpuig_santana@nps.gov_nps,5/21/2021 1:40,gpuig_santana@nps.gov_nps,5/21/2021 1:40,,,Y,7defa44e-30bd-42ec-ab61-0a4d7da2e46f,-156.982798,21.198093
51,15,5/21/2021 1:40,GPS,Glauco Antonio Puig-Santana,5/21/2021 1:40,PAPALOA,Mid Papaloa. Rocky outer shore. ,P,U,1,M,RP88,MP3,,,,,0,Nursing mom and pup pair. Both are resting and appear healthy. ,Y,gpuig_santana@nps.gov_nps,5/21/2021 1:41,gpuig_santana@nps.gov_nps,4/26/2022 18:15,,,Y,e14cbc22-9280-4597-bf20-7bd9df012a28,-156.982798,21.198093
52,15,5/21/2021 1:42,GPS,Glauco Antonio Puig-Santana,5/21/2021 1:42,PAPALOA,Mid Papaloa. Rocky outer shore. ,A,M,1,M,RF42,,,,R,,0,Sleeping along rocky shore. ,Y,gpuig_santana@nps.gov_nps,5/21/2021 1:42,gpuig_santana@nps.gov_nps,5/21/2021 1:42,,,N,428e9b51-60b3-4bf3-8585-617716c366b8,-156.9832926,21.19727845
53,15,5/21/2021 1:54,GPS,Glauco Antonio Puig-Santana,5/21/2021 1:55,PAPALOA,South Papaloa,A,M,1,M,,,,,,,0,Male . Left scar on pectoral flipper. Sleeping along shore near RL04. No tags present. ,Y,gpuig_santana@nps.gov_nps,5/21/2021 1:56,gpuig_santana@nps.gov_nps,5/21/2021 1:56,,,N,81573697-d9e0-457f-9187-2d633e759fbc,-156.9831671,21.19499444
54,15,5/21/2021 1:56,GPS,Glauco Antonio Puig-Santana,5/21/2021 1:56,PAPALOA,South Papaloa,A,F,1,P,RL04,,,,,,0,Sleeping along shore. Near unknown male.,Y,gpuig_santana@nps.gov_nps,5/21/2021 1:57,gpuig_santana@nps.gov_nps,5/21/2021 1:57,,,N,1cfb710a-39be-4e4c-898c-75754d96d212,-156.9831948,21.19494566
55,15,5/21/2021 2:05,GPS,Glauco Antonio Puig-Santana,5/21/2021 2:06,"KAHIKILO (CARPENTERS) BEACH, KALAUPAPA",On Beach Cove,W ,M,1,M,,MP1,None,,,,0,Sleeping along shore. ,Y,gpuig_santana@nps.gov_nps,5/21/2021 2:06,gpuig_santana@nps.gov_nps,4/26/2022 18:21,,,N,3e56b118-3d0c-43fa-94f5-e4093245d160,-156.9848384,21.19142664
56,15,5/21/2021 22:18,GPS,Glauco Antonio Puig-Santana,5/21/2021 22:19,PAPALOA,Mid Papaloa,A,F,1,F,RL04,,L04,R,R,,0,Nursing Mom and Pup pair. All look healthy. ,N,gpuig_santana@nps.gov_nps,5/21/2021 22:20,gpuig_santana@nps.gov_nps,5/21/2021 22:20,,,Y,bd580ea2-670c-4974-aa6d-ea97692cfd43,-156.9829306,21.1967278
57,15,5/21/2021 22:20,GPS,Glauco Antonio Puig-Santana,5/21/2021 22:20,PAPALOA,Mid Papaloa,P,U,1,X,RP50,MP6,,,,,0,Nursing Mom and Pup pair. All look healthy. RL04 is the mom. ****Unable to tell apart with RP40.,N,gpuig_santana@nps.gov_nps,5/21/2021 22:21,gpuig_santana@nps.gov_nps,4/26/2022 18:12,,,Y,0d249b62-9048-48c5-8298-de8ad5d489f2,-156.9829306,21.1967278
58,15,5/21/2021 22:26,GPS,Glauco Antonio Puig-Santana,5/21/2021 22:26,PAPALOA,Mid Papaloa,A,F,1,F,RN12,,,,R,,0,Sleeping along shore. ,N,gpuig_santana@nps.gov_nps,5/21/2021 22:27,gpuig_santana@nps.gov_nps,5/21/2021 22:35,,,Y,7f08b757-ee5b-4186-b5e5-723c3d276c66,-156.982697,21.19777771
59,15,5/21/2021 22:28,GPS,Glauco Antonio Puig-Santana,5/21/2021 22:28,PAPALOA,Mid Papaloal,P,U,1,M,RP60,MP5,,,,,0,All appear healthy. Sleeping Near the shore.,N,gpuig_santana@nps.gov_nps,5/21/2021 22:28,gpuig_santana@nps.gov_nps,4/26/2022 18:13,,,Y,dc27d264-6be7-4007-a0a6-d3a6865edd69,-156.982697,21.19777771
60,15,5/21/2021 22:29,GPS,Glauco Antonio Puig-Santana,5/21/2021 22:29,PAPALOA,,A,F,1,F,RA10,,,,R,,0,All appear healthy. Nearby is adult male with right dorsal cookie cutter shark scar. Pup is present. ,Y,gpuig_santana@nps.gov_nps,5/21/2021 22:30,gpuig_santana@nps.gov_nps,5/21/2021 22:30,,,Y,b19d166a-a65e-40d2-a89b-beb9d4ea4f41,-156.9824752,21.19792738
61,15,5/21/2021 22:31,GPS,Glauco Antonio Puig-Santana,5/21/2021 22:31,PAPALOA,,P,U,1,M,RP40,MP7,,,,,0,Mom and Pup pair. Observed yesterday without a pup. Sleeping along shore. ****Unable to tell apart with RP50.,Y,gpuig_santana@nps.gov_nps,5/21/2021 22:32,gpuig_santana@nps.gov_nps,4/26/2022 18:08,,,Y,79103b16-0b26-4551-a9f5-e8462833d7bf,-156.9824752,21.19792738
62,15,5/21/2021 22:33,GPS,Glauco Antonio Puig-Santana,5/21/2021 22:33,PAPALOA,Swimming along the shore. ,A,M,0,M,,,,,,,0,Adult male with cookie cutter scar on dorsal right side. Swimming along the shore and approaching females. Lifting head and constantly sniffing. ,Y,gpuig_santana@nps.gov_nps,5/21/2021 22:35,gpuig_santana@nps.gov_nps,5/21/2021 22:35,,,N,23180951-ec72-46ae-8260-5cd1425d911a,-156.9825059,21.19793686
